id,repo,commit,source,target,file path,lines,flag,source APIs,target APIs,source program elements,target program elements,cardinality,properties,comments,commit URL,migration id,file id,candidate source lines,candidate target lines,6,6
I11,dbcli/mycli,b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,configparser,configobj,mycli/config.py,14:7,,read,merge; ConfigObj,function call,function call,one-to-many,argument name change; element name change; argument addition,,https://github.com/dbcli/mycli/commit/b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,configparser__configobj__dbcli/mycli__b7a0b0f7,configparser__configobj__dbcli/mycli__b7a0b0f7__mycli/config.py,,,,
I12,dbcli/mycli,b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,configparser,configobj,mycli/config.py,18:8,,read,merge; ConfigObj,function call,function call,one-to-many,argument name change; element name change; argument addition,,https://github.com/dbcli/mycli/commit/b7a0b0f7d05cc90c8e5b20c2203562fdffbd6add,configparser__configobj__dbcli/mycli__b7a0b0f7,configparser__configobj__dbcli/mycli__b7a0b0f7__mycli/config.py,,,,
I13,heroku/salesforce-bulk,2f787fa0535957c3f7f864f3108bd1c2bc8a1271,csv,unicodecsv,salesforce_bulk/csv_adapter.py,1:1,,csv,unicodecsv,import,import,one-to-one,no properties,,https://github.com/heroku/salesforce-bulk/commit/2f787fa0535957c3f7f864f3108bd1c2bc8a1271,csv__unicodecsv__heroku/salesforce-bulk__2f787fa0,csv__unicodecsv__heroku/salesforce-bulk__2f787fa0__salesforce_bulk/csv_adapter.py,1,1,,
I14,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,8:8,,ed25519,nacl.signing,import,import,one-to-one,no properties,,https://github.com/romanz/trezor-agent/commit/e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b__libagent/formats.py,"8,91-92,104,164-165","8,91,106,166",,
I15,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,91:91-92,unsure,VerifyingKey,VerifyKey,function call,function call,one-to-one,element name change; argument transformation; argument addition,Flagged for discussion: How to deal with nacl.encoding.RawEncoder?,https://github.com/romanz/trezor-agent/commit/e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b__libagent/formats.py,,,,
I16,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,92:93,,verifyingKey,verify,function call,function call,one-to-one,argument transformation,,https://github.com/romanz/trezor-agent/commit/e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b__libagent/formats.py,,,,
I17,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,104:106,unsure,VerifyingKey,VerifyKey,function call,function call,one-to-one,element name change; argument addition,,https://github.com/romanz/trezor-agent/commit/e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b__libagent/formats.py,,,,
I18,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,164:166,,VerifyingKey,VerifyKey,function object,function object,one-to-one,element name change,,https://github.com/romanz/trezor-agent/commit/e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b__libagent/formats.py,,,,
I19,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/formats.py,165:167,,to_bytes,encode,function call,function call,one-to-one,argument addition,,https://github.com/romanz/trezor-agent/commit/e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b__libagent/formats.py,,,,
I20,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/gpg/decode.py,10:10,,ed25519,nacl.signing,import,import,one-to-one,no properties,,https://github.com/romanz/trezor-agent/commit/e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b__libagent/gpg/decode.py,"10,70","10,70",,
I21,romanz/trezor-agent,e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519,pynacl,libagent/gpg/decode.py,70:70,,VerifyingKey,VerifyKey,function call,function call,one-to-one,element name change; argument addition,,https://github.com/romanz/trezor-agent/commit/e1bbdb4bccb9c81a34123cc89fbb6ef2750ab33b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b,ed25519__pynacl__romanz/trezor-agent__e1bbdb4b__libagent/gpg/decode.py,,,,
I22,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/cpuload.py,27:23,,logger,logging,import,import,one-to-one,no properties,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/cpuload.py,"27,60,65,82","23,57,61",,
I23,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/cpuload.py,60:,,Logger,,function call,no program element,one-to-zero,no properties,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/cpuload.py,,,,
I24,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/cpuload.py,65-66:61-62,,log_custom,error,function call,function call,one-to-one,element name change,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/cpuload.py,,,,
I25,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/diskspace.py,28:24,,logger,logging,import,import,one-to-one,no properties,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/diskspace.py,"28,61,66,83","24,60,62",,
I26,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/diskspace.py,61:,,Logger,,function call,no program element,one-to-zero,no properties,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/diskspace.py,,,,
I27,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/diskspace.py,66-67:62-63,,log_custom,error,function call,function call,one-to-one,element name change,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/diskspace.py,,,,
I28,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/memory.py,27:23,,logger,logging,import,import,one-to-one,no properties,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/memory.py,"27,60,65,82","23,59,61",,
I29,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/memory.py,60:,,Logger,,function call,no program element,one-to-zero,no properties,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/memory.py,,,,
I30,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/memory.py,65-66:61-62,,log_custom,error,function call,function call,one-to-one,element name change,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/memory.py,,,,
I31,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/ping.py,28:24,,logger,logging,import,import,one-to-one,no properties,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/ping.py,"28,143,148,162","24,142,144",,
I32,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/ping.py,143:,,Logger,,function call,no program element,one-to-zero,no properties,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/ping.py,,,,
I33,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/ping.py,148-149:144-145,,log_custom,error,function call,function call,one-to-one,element name change,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/ping.py,,,,
I34,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/snmptraffic.py,27:24,,logger,logging,import,import,one-to-one,no properties,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/snmptraffic.py,"27,29,33,179,195","24,29,173,175",,
I35,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/snmptraffic.py,29:,,Logger,,function call,no program element,one-to-zero,no properties,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/snmptraffic.py,,,,
I36,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/snmptraffic.py,33:29,,log_custom,error,function call,function call,one-to-one,element name change,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/snmptraffic.py,,,,
I37,prtg/pythonminiprobe,2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger,logging,sensors/snmptraffic.py,179-181:175-177,,log_custom,error,function call,function call,one-to-one,element name change,,https://github.com/prtg/pythonminiprobe/commit/2b6a1aeb2a9ee1a722262d34752bbbff44f21951,logger__logging__prtg/pythonminiprobe__2b6a1aeb,logger__logging__prtg/pythonminiprobe__2b6a1aeb__sensors/snmptraffic.py,,,,
I38,kevoreilly/capev4,abf58a7deb32893febb4151f579d8428ffca3b8e,m2crypto,cryptography,modules/processing/static.py,775:779,unsure,,,,,,,Commit not available,https://github.com/kevoreilly/capev4/commit/abf58a7deb32893febb4151f579d8428ffca3b8e,m2crypto__cryptography__kevoreilly/capev4__abf58a7d,m2crypto__cryptography__kevoreilly/capev4__abf58a7d__modules/processing/static.py,,,,
